protein	frac_centro_specific	frac_NT_control	diff	cohens_h	z	n_centro_specific	n_NT_control
K562-IGF2BP2-eCLIP	0.5920	0.5379	+0.0542	+0.1093	+3.37	1126	1023
HepG2-SND1-eCLIP	0.5568	0.5037	+0.0531	+0.1064	+3.28	1059	958
CPSF6-PARCLIP	0.4989	0.4458	+0.0531	+0.1064	+3.28	949	848
K562-SLTM-eCLIP	0.4416	0.3901	+0.0515	+0.1046	+3.22	840	742
HepG2-AGGF1-eCLIP	0.6377	0.5873	+0.0505	+0.1037	+3.19	1213	1117
K562-LIN28B-eCLIP	0.6362	0.5857	+0.0505	+0.1036	+3.19	1210	1114
HepG2-LIN28B-eCLIP	0.5836	0.5326	+0.0510	+0.1027	+3.17	1110	1013
HepG2-DGCR8-eCLIP	0.6446	0.5967	+0.0478	+0.0987	+3.04	1226	1135
K562-IGF2BP1-eCLIP	0.5710	0.5231	+0.0478	+0.0962	+2.96	1086	995
HepG2-FAM120A-eCLIP	0.4532	0.4069	+0.0463	+0.0935	+2.88	862	774
HepG2-SAFB-eCLIP	0.4926	0.4464	+0.0463	+0.0927	+2.86	937	849
HepG2-SRSF7-eCLIP	0.3113	0.2692	+0.0421	+0.0927	+2.86	592	512
HepG2-PTBP1-eCLIP	0.5484	0.5021	+0.0463	+0.0927	+2.86	1043	955
ORF1-PARCLIP	0.3775	0.3339	+0.0436	+0.0912	+2.81	718	635
HepG2-IGF2BP1-eCLIP	0.5121	0.4674	+0.0447	+0.0894	+2.76	974	889
K562-SF3B4-eCLIP	0.5284	0.4837	+0.0447	+0.0894	+2.76	1005	920
HepG2-NOL12-eCLIP	0.4695	0.4264	+0.0431	+0.0867	+2.67	893	811
HepG2-SUB1-eCLIP	0.4274	0.3859	+0.0415	+0.0846	+2.61	813	734
HepG2-FUS-eCLIP	0.5379	0.4958	+0.0421	+0.0842	+2.60	1023	943
K562-METAP2-eCLIP	0.6104	0.5694	+0.0410	+0.0834	+2.57	1161	1083
ZC3H7B-PARCLIP	0.1761	0.1477	+0.0284	+0.0771	+2.38	335	281
K562-XRN2-eCLIP	0.4653	0.4274	+0.0379	+0.0762	+2.35	885	813
CPSF7-PARCLIP	0.4779	0.4406	+0.0373	+0.0749	+2.31	909	838
L1RE1-PARCLIP	0.3675	0.3323	+0.0352	+0.0739	+2.28	699	632
K562-U2AF2-eCLIP	0.5952	0.5599	+0.0352	+0.0713	+2.20	1132	1065
K562-HNRNPU-eCLIP	0.6167	0.5820	+0.0347	+0.0708	+2.18	1173	1107
TRA2B-MDA231-rep1-iCLIP	0.1798	0.1535	+0.0263	+0.0706	+2.18	342	292
HepG2-ZC3H11A-eCLIP	0.6246	0.5910	+0.0336	+0.0689	+2.13	1188	1124
HepG2-NCBP2-eCLIP	0.5662	0.5321	+0.0342	+0.0687	+2.12	1077	1012
HepG2-U2AF2-eCLIP	0.5300	0.4958	+0.0342	+0.0684	+2.11	1008	943
