gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
ABCC13	0.014902	0.0148321	0	0.0120783	0.011147	0	0	0	0.00417435
ABCC2	0.0395372	0.0375632	0.0289193	0.0174793	0	0.0239479	0.0402769	0	0.024164
ABCC3	1.58361	2.12915	2.07666	1.61682	1.983	1.75853	1.6422	0	1.28668
ABCC4	0.504412	0.374536	0.409436	0.466719	0.524894	0.463966	0.250103	0	0.348113
ABCC5	0.592641	0.582202	0.722474	0.580154	0.552694	0.581183	0.488732	0	0.577804
ABCC5-AS1	0	0	0	0	0	0	0	0	0.083156
ABCC6	0.0237983	0.0203029	0	0.00826662	0.0152585	0.0377529	0.0952422	0	0.0457123
ABCC8	0.200823	0.272972	0.241164	0.225933	0.228692	0.226334	0.235114	0	0.256923
ABCC9	0.0329585	0.0284877	0.0697844	0.0253073	0.023356	0.0346729	0.0097191	0	0.0408167
ABCD1	1.1877	1.41479	1.32159	1.25963	0.737202	0.645417	1.62824	0	0.679556
ABCD2	0.0108113	0.016141	0	0.00876271	0.0161741	0.0160074	0.0201915	0	0.0121139
ABCD3	0.774792	0.786134	0.8675	0.920629	0.855272	0.974537	0.758634	3.09458	1.08307
ABCD4	0.796274	0.548682	0.492826	0.595745	0.481084	0.476125	0.428984	0	0.437526
ABCE1	2.31823	1.9228	1.23053	2.19211	2.13147	2.181	0.992197	0	1.5017
ABCF1	2.50451	2.24933	2.83373	2.56914	2.45886	1.97723	2.63109	0	1.98959
ABCF2	3.36792	2.44226	1.54845	4.44557	3.45499	1.70969	2.15658	0	2.7494
ABCF2-H2BK1	1.63975	1.54738	1.74251	1.8431	2.29113	0.996331	1.56012	0	0.961988
ABCF2P1	0	0	1.08358	0	0	0	0	0	0
ABCF3	2.985	1.99121	2.044	2.85693	1.42522	1.55158	1.6013	0	2.50848
ABCG1	0.0903139	0.0462294	0.0622848	0.0878406	0.0694866	0.0687703	0.101204	0	0.0173477
ABCG2	0.0926622	0.0718313	0.05735	0.138653	0.0799766	0.0751945	0.149762	1.09962	0.0628947
ABCG4	0.0369709	0.0275982	0	0	0	0	0	0	0.0310689
ABCG5	0.00952637	0	0	0.0231637	0	0	0	0	0.0480335
ABCG8	0.00492564	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0.160661	0.159005	0	0	0
ABHD10	1.03314	0.758153	0.986235	0.979303	1.17886	0.777806	0.588669	0	1.14781
ABHD11	1.64041	1.22454	0.733255	1.77277	0.81804	0.607205	0.510614	0	0.306342
ABHD12	0.231445	0.267008	0.317418	0.204643	0.23608	0.210282	0.32419	1.62297	0.234281
ABHD12B	0.022915	0	0	0	0.0342817	0	0	0	0.0128379
ABHD13	0.967561	1.08932	1.02097	1.04134	0.996644	1.4091	0.533226	0	1.83947
ABHD14A	0.64854	0.871424	0.521808	0.630779	0.582144	0.432107	0.726739	0	0.654009
ABHD14A-ACY1	0.829102	0.632665	0.889449	0.627197	0.661529	0.61379	0.929073	0	0.526429
ABHD14B	0.573753	0.932177	1.35775	1.10788	0.530161	0.862	0.945493	0	0.85087
ABHD15	0.735994	0.867486	1.55835	0.659325	1.21698	0.258093	0.65111	0	0.781264
ABHD15-AS1	0.123232	0.111988	0.0862181	0.0738249	0.120234	0.0436314	0.160105	0	0.0510291
ABHD16A	1.65149	0.924606	1.66096	2.00783	1.85301	1.83391	1.15664	0	1.38784
ABHD17A	1.27355	1.16675	1.3973	0.914928	0.519621	0.578547	1.62172	0	1.07024
ABHD17AP3	0.149178	0	0	0	0	0	0	0	0.125363
ABHD17AP6	0	0.0253317	0.0682587	0	0	0	0	0	0
ABHD17B	0.816662	0.848845	0.873331	0.904896	0.881521	1.1135	0.521278	3.18955	1.17278
ABHD17C	0.410577	0.237282	0.159845	0.29789	0.326934	0.235319	0.259725	0	0.278252
ABHD18	0.249256	0.306757	0.406518	0.36856	0.46864	0.523655	0.301958	0	0.475542
ABHD2	0.514548	0.473998	0.405191	0.495133	0.442216	0.466834	0.368037	0	0.331205
ABHD3	0.68091	0.72212	0.755659	0.502406	0.716579	0.823914	0.920877	0	0.694544
ABHD4	0.668265	0.486058	0.137866	0.541637	0.384519	0.456666	0.480027	10.5737	0.403188
ABHD5	0.846385	0.763264	0.685563	0.745858	0.586372	0.63079	0.413749	3.50531	0.735137
ABHD6	0.177246	0.219443	0.34783	0.199723	0.23283	0.336043	0.314882	0	0.239774
ABHD8	0.185659	0.170574	0	0.312532	0.0640967	0.222026	0.320069	0	0.216028
ABI1	0.38687	0.423343	0.442147	0.422241	0.443944	0.634642	0.332528	0	0.609581
ABI2	0.482043	0.659963	0.660524	0.516954	0.529056	0.696578	0.483555	1.29896	0.838483
ABI3	0.0392413	0.029293	0.157866	0	0	0	0	0	0.0329769
ABI3BP	0.0217151	0.0571208	0.0415993	0.0125717	0.0510503	0.050524	0.0463494	0	0.0451868
ABITRAM	0.553796	0.528233	0.495087	0.635883	0.621375	0.614969	0.258572	0	0.284404
ABL1	1.29513	1.55719	1.77345	1.36265	1.71988	1.60616	1.41255	1.77798	1.91282
ABL2	1.76685	1.52051	1.2726	1.72128	1.66215	1.72641	1.29687	0	1.57557
ABLIM1	0.287267	0.278102	0.216686	0.336517	0.305534	0.289093	0.247297	0	0.227577
ABLIM2	0.102685	0.0756827	0.0522909	0.0853348	0.0700046	0.0519622	0.101958	0	0.0524311
ABLIM3	0.242865	0.148189	0.203902	0.195133	0.123218	0.107877	0.130158	0	0.0603408
ABO	0.158815	0.0175633	0	0.0572094	0.0527984	0.0391906	0.0659127	0	0.00988604
ABR	0.230434	0.287523	0.206005	0.221958	0.194852	0.197788	0.299384	0	0.217035
ABRA	0	0	0	0.0568094	0	0	0	0	0
ABRACL	0.328159	0.283644	0.138965	0.419964	0.23255	0.268511	0	0	0.2032
ABRAXAS1	0.129989	0.0940945	0.126773	0.124514	0.070716	0.201213	0.0220702	0	0.119169
ABRAXAS2	0.519487	0.635542	0.522467	0.456138	0.712408	0.608918	0.404254	0	0.557822
ABT1	1.65988	1.58602	1.60263	1.77587	1.48995	0.884752	1.86003	0	1.11592
ABTB1	0.849456	0.563649	0.506269	0.764994	0.847212	0.838478	1.23392	19.4143	0.581655
ABTB2	0.623297	0.600951	0.412191	0.539792	0.591237	0.40364	0.505729	0	0.487918
ABTB3	0.00958169	0.00440158	0.00593025	0.00896085	0.00330798	0.00818468	0.00412962	0	0.00123878
ACAA1	0.332679	0.28697	0.356893	0.269641	0.4977	0.361218	0.455636	4.56203	0.34791
ACAA2	0.946535	0.799894	0.862157	0.825078	0.881692	0.832939	0.70044	0	1.02055
ACAA2P1	0.189479	0	0	0.460726	3.40162	0	1.06163	0	0
ACACA	1.06568	1.24749	1.49119	1.31758	1.34287	1.68832	1.39042	1.93843	1.52185
ACACB	0.11134	0.17367	0.2273	0.165669	0.134249	0.129175	0.195527	0	0.212269
ACAD10	0.208804	0.24305	0.284748	0.197923	0.333557	0.275098	0.17846	0	0.327149
ACAD11	1.88187	1.71696	0.841185	1.52528	0.93845	3.25071	3.51464	0	0.878584
ACAD8	0.36772	0.304997	0.657475	0.496736	0.275062	0.544452	0.228922	0	0.309018
ACAD9	1.69294	1.74981	1.5489	1.92744	1.80424	1.58444	1.64963	0	1.77954
ACAD9-DT	0.365705	0.347446	0.267493	0.485032	0.149211	0.22151	0.186273	0	0.447017
ACADL	0.0328061	0.0783655	0	0.0159538	0.0294475	0.0437158	0.183809	0	0.0330827
ACADM	0.659112	0.552759	0.425561	0.514432	0.730412	0.569269	0.547101	0	0.82058
ACADS	0.0706537	0.0527419	0.284236	0.0858986	0.0792755	0.0784582	0.296899	0	0.0890619
ACADSB	0.0662862	0.121801	0.0410255	0.111584	0.0686538	0.158541	0.114275	0	0.137118
ACADVL	8.02925	4.88717	4.72095	8.2599	5.68262	3.84081	8.65134	0	5.76129
ACAN	0.0174809	0.0052197	0	0	0.0156913	0.00776476	0.0195888	0	0
ACAP1	0.0504593	0	0	0.0408979	0	0.0373554	0	0	0
ACAP2	0.502881	0.549081	0.688445	0.52926	0.646778	0.683451	0.420535	0	0.678685
ACAP2-IT1	1.45762	0.544044	2.93196	0.886062	0	1.61863	0	0	0.612462
ACAP3	2.00753	2.20959	3.06541	1.88841	2.17029	1.49703	3.69458	9.04243	1.84713
ACAT1	0.740268	0.716556	0.654518	0.712083	0.949259	0.523937	1.00273	0	0.738307
ACAT2	1.25219	2.30935	1.6594	1.32536	1.58681	1.76676	1.89841	0	1.7827
ACBD3	0.992294	0.963843	1.29858	1.10466	1.07314	1.08863	1.03826	3.68873	1.14534
ACBD3-AS1	0.0355692	0	0	0	0	0	0	0	0
ACBD4	0.325642	0.615819	0.349344	0.422299	0.389738	0.337505	0.364907	0	0.583801
ACBD5	0.289447	0.175869	0.108319	0.245512	0.135949	0.171922	0.0565724	0	0.169702
ACBD6	0.617749	0.618072	0.607197	0.584579	0.633859	0.782958	0.549681	1.33055	0.637816
ACBD7	0.056707	0.112882	0	0.0459617	0.169672	0	0	0	0.0317696
ACCS	0.225392	0.231346	0	0.171265	0.379344	0.219003	0.473567	0	0.355145
ACD	1.67677	2.0482	1.22646	1.85324	0.342069	2.03126	1.2811	0	1.53719
ACE	0	0.0409949	0	0	0	0	0	0	0
ACE2	0.0109165	0	0	0	0.0163314	0.00808154	0	0	0.0183475
ACE2-DT	0	0.0201779	0	0.032863	0	0.0300165	0	0	0
ACER1	0.0183058	0	0	0	0.0410792	0	0	0	0
ACER2	0.237005	0.293429	0.0930202	0.154613	0.285384	0.192574	0.16194	0	0.24289
ACER3	0.316687	0.373266	0.329171	0.338963	0.387635	0.40383	0.280162	0	0.39474
ACHE	0.14407	0.0537731	0	0.175156	0	0	0.201803	0	0
ACIN1	2.94525	2.63425	2.51168	3.21772	2.16249	2.66771	3.26996	4.18772	2.54351
ACKR2	0.100295	0.0998245	0	0.0812901	0	0	0	0	0.0561892
ACKR3	3.2103	3.4787	2.08304	2.39215	4.33795	2.56827	4.8352	21.3014	2.84285
ACKR4	0.0231762	0.0173007	0	0.0563539	0	0	0.0649269	0	0.0389528
ACLY	3.5764	3.54587	3.9427	3.50729	3.61819	2.9753	3.58695	2.43861	3.36081
ACMSD	0.00793621	0	0	0.0192972	0	0	0	0	0
ACO1	0.602017	0.620595	0.518975	0.531509	0.755894	0.628724	0.562172	2.21128	0.487843
ACO2	0.864433	0.926445	1.06811	0.878294	0.872926	0.843358	0.899474	1.9051	0.731624
ACOD1	0.0248261	0	0	0	0	0	0	0	0
ACOT1	0	0	0	0.091882	0	0.0839234	0	0	0
ACOT11	0.0830037	0.069706	0.0626099	0.100913	0.104774	0.07489	0.145331	0	0.0828317
ACOT12	0.00391747	0	0.0315195	0	0.0351641	0	0	0	0.00658418
ACOT13	0.337182	0.31586	0.372363	0.321518	0.474765	0.352403	0.37043	0	0.40003
ACOT2	0.312774	0.186785	0	0.684469	0.140376	0.0694646	0.350487	0	0.0525686
ACOT4	0.0645709	0.289207	0.51953	0	0	0.143407	0.723567	0	0.108526
ACOT6	0	0.0419712	0	0	0	0	0	0	0
ACOT7	0.310661	0.275385	0.312443	0.264384	0.331141	0.21561	0.271968	0	0.277384
ACOT8	0.310741	0.268589	0.394767	0.516975	0.954229	0.581164	0.549805	0	0.494782
ACOT9	0.749463	0.631188	0.804013	0.691557	0.776232	0.87066	0.538353	2.3717	0.839758
ACOX1	0.467222	0.568003	0.537031	0.681641	0.599127	0.696717	0.673147	0	0.504817
ACOX2	0.0234639	0	0	0.0190178	0	0	0	0	0
