gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
LRRC24	7	4	1	1	0	6	1	0	5
LRRC25	0	0	1	0	0	0	0	0	0
LRRC26	2	0	0	0	0	0	0	0	0
LRRC27	12	6	1	5	1	4	2	0	8
LRRC28	47	41	6	22	11	41	7	0	48
LRRC3	3	2	2	2	0	1	0	0	1
LRRC31	1	0	0	0	0	1	0	0	1
LRRC32	1	1	0	1	0	0	0	0	0
LRRC34	3	2	0	0	0	2	0	0	1
LRRC36	0	3	0	1	0	0	0	0	2
LRRC37A	1	0	0	0	0	2	1	0	1
LRRC37A11P	2	1	0	1	0	0	0	0	2
LRRC37A15P	0	1	0	3	1	0	0	0	1
LRRC37A16P	3	1	1	2	0	1	0	0	0
LRRC37A2	5	5	1	7	2	1	2	0	7
LRRC37A3	12	5	1	9	2	4	5	0	17
LRRC37A4P	5	5	0	1	0	3	0	0	0
LRRC37A5P	1	0	0	0	0	0	0	0	0
LRRC37A6P	1	2	0	1	0	0	0	1	0
LRRC37A7P	0	1	0	0	0	0	0	0	0
LRRC37A9P	0	0	0	0	0	0	1	0	1
LRRC37B	28	19	2	13	5	17	7	0	19
LRRC38	4	3	0	1	0	0	1	0	0
LRRC39	10	7	1	4	4	2	3	0	4
LRRC3B	6	3	0	2	0	0	1	0	1
LRRC3B-AS1	0	0	0	0	0	2	0	0	0
LRRC3C	2	0	0	0	1	0	0	0	0
LRRC4	2	0	1	0	0	0	0	0	0
LRRC40	139	92	19	56	32	75	17	0	107
LRRC41	133	66	16	27	33	57	19	0	64
LRRC42	56	37	12	34	11	25	7	0	33
LRRC43	2	1	0	3	1	1	0	0	1
LRRC45	34	19	6	11	5	17	7	0	19
LRRC46	0	0	0	0	1	0	0	0	2
LRRC47	109	57	10	35	20	26	10	0	44
LRRC49	73	39	11	29	14	31	13	0	34
LRRC4B	4	1	1	1	1	0	0	0	2
LRRC4C	55	30	4	20	6	13	7	0	21
LRRC51	4	1	1	2	2	0	1	0	3
LRRC52	1	0	0	0	0	0	0	0	0
LRRC52-AS1	3	0	0	0	1	1	0	0	1
LRRC53	0	1	0	1	0	0	0	0	0
LRRC56	7	3	0	2	0	0	0	0	1
LRRC57	29	21	3	7	5	12	4	0	7
LRRC58	374	279	47	176	106	203	67	0	270
LRRC59	386	188	43	148	81	118	46	0	148
LRRC61	43	31	4	18	8	5	5	1	18
LRRC63	3	1	0	4	1	1	1	0	2
LRRC66	2	3	0	3	1	2	0	0	5
LRRC69	70	59	8	29	17	36	13	0	59
LRRC7	27	27	2	8	8	11	5	0	12
LRRC70	5	3	1	2	2	5	1	0	3
LRRC71	0	0	0	1	0	0	0	0	0
LRRC72	0	0	1	0	0	0	1	0	1
LRRC73	4	4	1	1	0	0	1	0	4
LRRC74A	2	0	0	0	2	1	0	0	0
LRRC75A	13	3	1	1	1	2	1	0	0
LRRC75B	5	6	0	4	0	1	0	0	2
LRRC77P	2	2	0	1	1	1	0	0	0
LRRC78P	0	1	0	0	1	1	1	0	1
LRRC8A	193	136	24	65	56	84	45	0	97
LRRC8B	166	99	13	51	25	61	20	0	66
LRRC8C	86	25	4	33	11	26	6	0	19
LRRC8C-DT	6	2	2	0	1	2	0	0	3
LRRC8D	91	51	14	47	11	43	13	0	28
LRRC8D-DT	1	0	0	0	0	0	0	0	0
LRRC8E	12	3	2	3	1	1	2	0	3
LRRC9	4	4	1	2	2	3	1	0	1
LRRCC1	24	18	3	9	4	18	4	0	23
LRRD1	0	1	0	0	0	0	0	0	0
LRRFIP1	659	379	81	238	146	274	113	2	315
LRRFIP1P1	6	2	2	1	0	1	1	0	1
LRRFIP2	420	203	47	144	66	195	34	1	230
LRRIQ1	18	9	4	3	6	14	2	0	19
LRRIQ3	10	3	0	3	2	5	0	0	9
LRRIQ4	4	2	0	0	0	2	0	0	1
LRRK1	324	185	27	125	69	122	64	2	147
LRRK2	13	12	1	12	3	8	5	0	14
LRRK2-DT	2	7	1	1	1	2	1	0	0
LRRN1	33	28	1	21	13	21	17	1	42
LRRN2	63	53	7	14	19	22	14	0	44
LRRN3	0	0	0	0	0	1	0	0	1
LRRN4	1	0	2	1	0	0	0	0	1
LRRN4CL	3	1	0	0	2	0	0	0	1
LRRTM1	1	0	0	0	0	0	0	0	1
LRRTM2	0	1	0	0	0	0	0	0	0
LRRTM3	12	2	1	1	2	5	2	0	6
LRRTM4	177	229	43	91	84	207	49	0	294
LRRTM4-AS1	1	0	0	1	0	1	0	0	0
LRSAM1	174	93	18	47	27	46	40	0	63
LRTM1	1	2	0	1	0	1	0	0	1
LRTM2	0	0	0	0	0	0	0	0	1
LRTOMT	18	17	1	10	7	8	2	0	9
LRWD1	27	9	3	8	3	7	6	0	11
LSAMP	54	35	8	19	15	16	6	1	31
LSG1	193	132	18	80	43	85	23	0	86
LSM1	63	46	8	38	13	35	8	0	32
LSM10	15	15	1	13	3	3	7	0	9
LSM11	43	33	6	14	14	20	7	0	25
LSM12	140	85	22	52	31	80	21	0	97
LSM14A	340	217	43	159	86	214	51	0	272
LSM14B	133	80	9	41	32	40	26	0	51
LSM1P1	0	1	0	0	0	0	0	0	0
LSM2	25	30	3	13	10	16	4	0	17
